Event No,Event,Gender,Age Group,Mode
87,200 mt. Butterfly Stroke,Girls,U - 14,Time Trial
88,200 mt. Butterfly Stroke,Boys,U - 17,Time Trial
89,200 mt. Butterfly Stroke,Girls,U - 17,Time Trial
90,200 mt. Butterfly Stroke,Boys,U - 19,Time Trial
91,200 mt. Butterfly Stroke,Girls,U - 19,Time Trial
92,200 mt. Back Stroke,Boys,U - 14,Time Trial
93,200 mt. Back Stroke,Girls,U - 14,Time Trial
94,200 mt. Back Stroke,Boys,U - 17,Time Trial
95,200 mt. Back Stroke,Girls,U - 17,Time Trial
96,200 mt. Back Stroke,Boys,U - 19,Time Trial
97,200 mt. Back Stroke,Girls,U - 19,Time Trial
98,4x100 mt. Free Style Relay,Boys,U - 17,Time Trial
99,4x100 mt. Free Style Relay,Girls,U - 17,Time Trial
100,4x100 mt. Free Style Relay,Boys,U - 19,Time Trial
101,4x100 mt. Free Style Relay,Girls,U - 19,Time Trial
102,800 mt. Free Style,Boys,U - 17,Time Trial
103,400 mt. Free Style,Boys,U - 19,Time Trial
104,400 mt. Free Style,Girls,U - 19,Time Trial
105,200 mt. Individual Medley,Boys,U - 11,Time Trial
106,200 mt. Individual Medley,Girls,U - 11,Time Trial
107,200 mt. Individual Medley,Boys,U - 14,Time Trial
108,200 mt. Individual Medley,Girls,U - 14,Time Trial
109,200 mt. Individual Medley,Boys,U - 17,Time Trial
110,200 mt. Individual Medley,Girls,U - 17,Time Trial
111,200 mt. Individual Medley,Boys,U - 19,Time Trial
112,200 mt. Individual Medley,Girls,U - 19,Time Trial
113,4x50 mt. Medley Relay,Boys,U - 11,Time Trial
114,4x50 mt. Medley Relay,Girls,U - 11,Time Trial
115,4x100 mt. Medley Relay,Boys,U - 14,Time Trial
116,4x100 mt. Medley Relay,Girls,U - 14,Time Trial
117,4x100 mt. Medley Relay,Boys,U - 17,Time Trial
118,4x100 mt. Medley Relay,Girls,U - 17,Time Trial
119,4x100 mt. Medley Relay,Boys,U - 19,Time Trial
120,4x100 mt. Medley Relay,Girls,U - 19,Time Trial
